Model,Scaler,Best Params,Accuracy,Precision,Recall,F1 Score
Random Forest,None,"{'n_estimators': 100, 'max_depth': 10}",0.9562118126272913,0.91434103060797,0.9562118126272913,0.9348078001634841
Random Forest,StandardScaler,"{'n_estimators': 100, 'max_depth': 10}",0.9562118126272913,0.91434103060797,0.9562118126272913,0.9348078001634841
Random Forest,MinMaxScaler,"{'n_estimators': 100, 'max_depth': 10}",0.9562118126272913,0.91434103060797,0.9562118126272913,0.9348078001634841
KNN,None,{'n_neighbors': 7},0.9562118126272913,0.91434103060797,0.9562118126272913,0.9348078001634841
KNN,StandardScaler,{'n_neighbors': 7},0.9541751527494908,0.9142555800324204,0.9541751527494908,0.9337889196787618
KNN,MinMaxScaler,{'n_neighbors': 7},0.9541751527494908,0.9142555800324204,0.9541751527494908,0.9337889196787618
Logistic Regression,None,{'C': 0.1},0.9562118126272913,0.91434103060797,0.9562118126272913,0.9348078001634841
Logistic Regression,StandardScaler,{'C': 0.1},0.9562118126272913,0.91434103060797,0.9562118126272913,0.9348078001634841
Logistic Regression,MinMaxScaler,{'C': 0.1},0.9562118126272913,0.91434103060797,0.9562118126272913,0.9348078001634841
SVM,None,"{'kernel': 'linear', 'C': 0.1}",0.9562118126272913,0.91434103060797,0.9562118126272913,0.9348078001634841
SVM,StandardScaler,"{'kernel': 'linear', 'C': 0.1}",0.9562118126272913,0.91434103060797,0.9562118126272913,0.9348078001634841
SVM,MinMaxScaler,"{'kernel': 'linear', 'C': 0.1}",0.9562118126272913,0.91434103060797,0.9562118126272913,0.9348078001634841
Decision Tree,None,{'max_depth': 10},0.9409368635437881,0.9226665681690679,0.9409368635437881,0.9311273314395969
Decision Tree,StandardScaler,{'max_depth': 10},0.9409368635437881,0.9226665681690679,0.9409368635437881,0.9311273314395969
Decision Tree,MinMaxScaler,{'max_depth': 10},0.9409368635437881,0.9226665681690679,0.9409368635437881,0.9311273314395969
